Fiscal_Year,Service,Department,Project,Project_id,Fund,Fund_Type,Thru_FY_Actuals,FY_Approved
2016,Finance and Administrative Services,General Government Facilities - General,FAS: Municipal Energy Efficiency Projects,A1GM199,2011 Multipurpose LTGO Bond Fund,Not Applicable,0,0
2016,Seattle Department of Transportation,Major Projects,Mercer Corridor Project,TC365500,Transportation Bond Fund,Not Applicable,0,0
2016,Seattle Department of Transportation,Major Projects,Alaskan Way Main Corridor,TC367330,Waterfront Lid Lift,Not Applicable,0,0
2016,Finance and Administrative Services,Asset Preservation - Civic Core,Asset Preservation - Civic Center,A1AP101,Cumulative Reserve Subfund - Asset Preservation Subaccount - Fleets and Facilities,Not Applicable,0,0
2016,Seattle City Light,C5 Distribution - Distribution Other,Communications Improvements,9009,City Light Fund,Not Applicable,0,1107000
2016,Department of Parks and Recreation,2008 Parks Levy- Opportunity Fund,12th Avenue Square Park Development - 2008 Parks Levy (formerly East James Court),K730145,2008 Parks Levy Fund,Not Applicable,0,0
2016,Department of Parks and Recreation,2008 Parks Levy- Major Parks,Major Parks- 2008 Parks Levy,K730023,2008 Parks Levy Fund,Not Applicable,0,0
2016,Seattle City Light,E3 Central Utility Projects - Fleets and Facilities,North and South Service Center Improvements,9107,City Light Fund,Not Applicable,0,313000
2016,Seattle Department of Transportation,Mobility-Capital,Cheshiahud Lake Union Trail Project,TC367070,Cumulative Reserve Subfund - Unrestricted Subaccount,Not Applicable,0,0
2016,Seattle Department of Transportation,Major Maintenance/Replacement,Canton and Nord Alleys,TC367540,Transportation Operating Fund,Not Applicable,0,0
2016,Seattle City Light,C1 Distribution - Substations,Substation Plant Improvements,7750,City Light Fund,Not Applicable,0,867000
2016,Seattle Department of Transportation,Major Projects,Alaskan Way Viaduct Replacement,TC366050,2011 Multipurpose LTGO Bond Fund,Not Applicable,0,0
2016,Seattle Department of Transportation,Mobility-Capital,Madison Street Bus Rapid Transit,TC367480,Transportation Operating Fund,Not Applicable,0,0
2016,Seattle Public Utilities,Distribution,Pump Station Improvements,C1135,Water Fund,Not Applicable,0,700000
2016,Seattle Department of Transportation,Major Projects,Spokane St. Viaduct,TC364800,Transportation Operating Fund,Not Applicable,0,0
2016,Seattle Public Utilities,Shared Cost Projects,Alaskan Way Viaduct & Seawall Replacement Program - WF,C4102-WF,Water Fund,Not Applicable,0,4904284
2016,Department of Parks and Recreation,Ballfields/Athletic Courts/Play Areas,Play Area Renovations,K732468,2013 King County Parks Levy,Not Applicable,0,1000000
2016,Finance and Administrative Services,Neighborhood Fire Stations,Fire Station 32,A1FL132,2013 Multipurpose LTGO Bond Fund,Not Applicable,0,0
2016,Seattle Public Utilities,Distribution,Chamber Upgrades - Distribution,C1137,Water Fund,Not Applicable,0,27603
2016,Seattle Center,Armory Rehabilitation,Armory Rehabilitation,S9113,2002B LTGO Capital Project Fund,Not Applicable,0,0
2016,Seattle City Light,A2 Power Supply - Skagit,Diablo Dam - Spill Gate Trunnion Upgrades,6610,City Light Fund,Not Applicable,0,120000
2016,Seattle City Light,C1 Distribution - Substations,Substation Capacity Additions,7751,City Light Fund,Not Applicable,0,1568000
2016,Department of Parks and Recreation,Debt and Special Funding,Parks Maintenance Facility Acquisition - Debt Service,K73502,Parks 2002 Capital Facilities Bond Fund,Not Applicable,0,0
2016,Seattle City Light,D2 External Projects - Transportation Relocations,Mercer Corridor West Phase Relocations,8443,City Light Fund,Not Applicable,0,523000
2016,Seattle Department of Transportation,Major Maintenance/Replacement,Retaining Wall Repair and Restoration,TC365890,Cumulative Reserve Subfund - Real Estate Excise Tax II Subaccount,Not Applicable,0,212000
2016,Department of Parks and Recreation,Building Component Renovations,ADA Compliance - Parks,K732434,Cumulative Reserve Subfund - Real Estate Excise Tax I Subaccount,Not Applicable,0,0
2016,Seattle City Light,D1 External Projects - Local Jurisdictions,Citywide Undergrounding Initiative - City Light,8403,City Light Fund,Not Applicable,0,10000
2016,Seattle Department of Transportation,Major Maintenance/Replacement,Sidewalk Safety Repair,TC365120,Cumulative Reserve Subfund - Real Estate Excise Tax II Subaccount,Not Applicable,0,0
2016,Seattle Center,Campuswide Improvements and Repairs,General Site Improvements,S0305,2002B LTGO Capital Project Fund,Not Applicable,0,0
2016,Department of Parks and Recreation,Ballfields/Athletic Courts/Play Areas,Pratt Park Water Feature Renovation,K732469,Cumulative Reserve Subfund - Real Estate Excise Tax I Subaccount,Not Applicable,0,0
2016,Seattle City Light,C4 Distribution - Service Connections,Small Overhead and Underground Services,8367,City Light Fund,Not Applicable,0,6200000
2016,Seattle City Light,E2 Central Utility Projects - Finance and IT Systems,Enterprise Document Management System,9962,City Light Fund,Not Applicable,0,1033000
2016,Seattle Public Utilities,Habitat Conservation Program,Ballard Locks Improvements,C1606,Water Fund,Not Applicable,0,136000
2016,Seattle Department of Transportation,Mobility-Capital,23rd Avenue Corridor Improvements,TC367420,Future Bond Funds,Not Applicable,0,0
2016,Department of Parks and Recreation,Docks/Piers/Floats/Seawalls/Shorelines,Bell Harbor Marina,K732491,Cumulative Reserve Subfund - Real Estate Excise Tax I Subaccount,Not Applicable,0,1000000
2016,Seattle City Light,C2 Distribution - Network,First Hill - Network Load Transfer,8407,City Light Fund,Not Applicable,0,0
2016,Seattle Department of Transportation,Major Projects,Mercer Corridor Project West Phase,TC367110,2012 Multipurpose LTGO Bond Fund,Not Applicable,0,0
2016,Seattle Center,Campuswide Improvements and Repairs,Site Signage,S9118,Seattle Center Redevelopment and Parks Community Center - 1991 Levy Fund (Closed),Not Applicable,0,0
2016,Department of Parks and Recreation,Debt and Special Funding,Parks Maintenance Facility Acquisition - Debt Service,K73502,Cumulative Reserve Subfund - Unrestricted Subaccount,Not Applicable,0,0
2016,Seattle Department of Transportation,Mobility-Capital,Next Generation Intelligent Transportation Systems (ITS),TC367430,To Be Determined,Not Applicable,0,0
2016,Seattle Department of Transportation,Mobility-Capital,Greenwood Avenue Sidewalks,TC367530,Cumulative Reserve Subfund - Street Vacation Subaccount,Not Applicable,0,0
2016,Seattle Department of Transportation,Mobility-Capital,Neighborhood Large Projects,TC367250,Transportation Operating Fund,Not Applicable,0,0
2016,Finance and Administrative Services,Neighborhood Fire Stations,Fire Station 11,A1FL111,Cumulative Reserve Subfund - Real Estate Excise Tax I Subaccount,Not Applicable,0,0
2016,Department of Information Technology,Technology Leadership and Governance,IT Security,D202TC001,Information Technology Fund,Not Applicable,0,386000
2016,Seattle Public Utilities,Watershed Stewardship,Tolt Watershed Restoration,C1310,Water Fund,Not Applicable,0,0
2016,Finance and Administrative Services,Public Safety Facilities - Police,North Precinct,A1PS107,2013 Multipurpose LTGO Bond Fund,Not Applicable,0,0
2016,Seattle City Light,C2 Distribution - Network,Denny Substation - Network,8404,City Light Fund,Not Applicable,0,24349000
2016,Department of Parks and Recreation,Docks/Piers/Floats/Seawalls/Shorelines,Aquarium Expansion,K732492,To Be Determined,Not Applicable,0,0
2016,Seattle City Light,C2 Distribution - Network,Massachusetts Street Substation - Networks,8202,City Light Fund,Not Applicable,0,3116000
2016,Seattle Public Utilities,Sediments,Sediment Remediation - DWF,C3503,Drainage and Wastewater Fund,Not Applicable,0,4761538
2016,Seattle Department of Transportation,Mobility-Capital,Center City Streetcar Connector,TC367210,Transportation Operating Fund,Not Applicable,0,75000
2016,Seattle Department of Transportation,Major Projects,Alaskan Way Main Corridor,TC367330,To Be Determined,Not Applicable,0,0
2016,Seattle Public Utilities,Water Resources,Hatchery Works,C1511,Water Fund,Not Applicable,0,300000
2016,Seattle Department of Transportation,Major Maintenance/Replacement,Bridge Rehabilitation and Replacement Phase II,TC367450,Cumulative Reserve Subfund - Street Vacation Subaccount,Not Applicable,0,570939
2016,Finance and Administrative Services,Public Safety Facilities - Fire,Fire Station 5,A1PS205,Finance and Administrative Services Fund,Not Applicable,0,242000
2016,Finance and Administrative Services,Public Safety Facilities - Police,North Precinct,A1PS107,2014 Multipurpose LTGO Bond Fund,Not Applicable,0,0
2016,Seattle City Light,A3 Power Supply - Cedar Falls - Tolt,Cedar Falls - Bank 6 Replacement,6573,City Light Fund,Not Applicable,0,0
2016,Seattle City Light,A2 Power Supply - Skagit,Diablo Facility - Lines Protection Upgrades,6483,City Light Fund,Not Applicable,0,405000
2016,Department of Information Technology,Technology Infrastructure,Fiber-Optic Communication Installation and Maintenance,FIBER,Information Technology Fund,Not Applicable,0,3765000
2016,Department of Parks and Recreation,2008 Parks Levy- Neighborhood Parks and Playgrounds,Green Lake Community Center Electrical and Mechanical Renovation-2008 Levy,K730195,2008 Parks Levy Fund,Not Applicable,0,0
2016,Finance and Administrative Services,FAS Oversight - External Projects,Energy Efficiency for Municipal Buildings,A1EXT02,General Subfund,Not Applicable,0,313000
2016,Seattle Public Utilities,"Flooding, Sewer Back-up, and Landslides",Meadowbrook Pond Sediment Management,C3808,Drainage and Wastewater Fund,Not Applicable,0,0
2016,Finance and Administrative Services,Public Safety Facilities - Fire,Fire Station 5,A1PS205,2017 Multipurpose LTGO Bond Fund,Not Applicable,0,0
2016,Finance and Administrative Services,Neighborhood Fire Stations,Fire Station 22,A1FL122,Cumulative Reserve Subfund - Real Estate Excise Tax I Subaccount,Not Applicable,0,0
2016,Seattle Department of Transportation,Major Projects,Overlook Walk and East-West Connections Project,TC367630,2015 Multipurpose LTGO Bond Fund,Not Applicable,0,0
2016,Seattle City Light,E3 Central Utility Projects - Fleets and Facilities,Building Envelope Upgrades,9072,City Light Fund,Not Applicable,0,1501000
2016,Seattle Department of Transportation,Mobility-Capital,Pay Stations,TC366350,Transportation Operating Fund,Not Applicable,0,0
2016,Department of Parks and Recreation,Debt and Special Funding,Gas Works Park - Remediation,K73582,Cumulative Reserve Subfund - Real Estate Excise Tax I Subaccount,Not Applicable,0,1802000
2016,Department of Parks and Recreation,Building Component Renovations,ADA Compliance - Parks,K732434,Community Development Block Grant Fund,Not Applicable,0,0
2016,Seattle Public Utilities,Protection of Beneficial Uses,Venema Creek Natural Drainage System,C3333,Drainage and Wastewater Fund,Not Applicable,0,0
2016,Seattle Department of Transportation,Mobility-Capital,Linden Avenue North Complete Streets,TC366930,Cumulative Reserve Subfund - Real Estate Excise Tax II Subaccount,Not Applicable,0,0
2016,Seattle Center,Campuswide Improvements and Repairs,Fun Forest Site Restoration,S0901,KeyArena Settlement Proceeds Fund,Not Applicable,0,0
2016,Seattle City Light,C3 Distribution - Radial,Overhead 26kV Conversion,8358,City Light Fund,Not Applicable,0,2097000
2016,Seattle Public Utilities,"Flooding, Sewer Back-up, and Landslides",Culvert Replacement Program,C3810,Drainage and Wastewater Fund,Not Applicable,0,0
2016,Seattle City Light,E3 Central Utility Projects - Fleets and Facilities,Workplace and Process Improvement,9159,City Light Fund,Not Applicable,0,1158000
2016,Seattle City Light,A3 Power Supply - Cedar Falls - Tolt,Cedar Falls Powerhouse - Unit 5/6 Generator Protective Relay,6450,City Light Fund,Not Applicable,0,532000
2016,Seattle Public Utilities,Shared Cost Projects,Bridging the Gap - WF,C4119-WF,Water Fund,Not Applicable,0,7988249
2016,Seattle Center,Campuswide Improvements and Repairs,ADA Improvements,S9302,Cumulative Reserve Subfund - Real Estate Excise Tax II Subaccount,Not Applicable,0,0
2016,Seattle Department of Transportation,Major Projects,Spokane St. Viaduct,TC364800,2010 Multipurpose LTGO Bond Fund,Not Applicable,0,0
2016,Seattle Center,Theatre Improvements and Repairs,Theatre Improvements and Repairs,S9604,Cumulative Reserve Subfund - Unrestricted Subaccount,Not Applicable,0,0
2016,Seattle City Light,B1 Transmission - Transmission,Transmission Line Reconductoring,8462,City Light Fund,Not Applicable,0,7072000
2016,Seattle Department of Transportation,Major Maintenance/Replacement,Retaining Wall Repair and Restoration,TC365890,Transportation Operating Fund,Not Applicable,0,0
2016,Seattle City Light,A2 Power Supply - Skagit,Gorge - 240V AC Station Service Switchgear Replacement,6581,City Light Fund,Not Applicable,0,629000
2016,Seattle Department of Transportation,Major Projects,Alaskan Way Viaduct Replacement,TC366050,2009 Multipurpose LTGO Bond Fund,Not Applicable,0,0
2016,Seattle Department of Transportation,Major Maintenance/Replacement,Bridge Load Rating,TC365060,Cumulative Reserve Subfund - Real Estate Excise Tax II Subaccount,Not Applicable,0,300000
2016,Department of Parks and Recreation,Debt and Special Funding,Golf - Capital Improvements,K732407,Cumulative Reserve Subfund - Unrestricted Subaccount,Not Applicable,0,0
2016,Seattle City Light,D1 External Projects - Local Jurisdictions,Shoreline Undergrounding: North City and Aurora Avenue North,8320,City Light Fund,Not Applicable,0,54000
2016,Seattle Center,Parking Repairs and Improvements,Parking Repairs and Improvements,S0301,Cumulative Reserve Subfund - Real Estate Excise Tax I Subaccount,Not Applicable,0,240000
2016,Department of Parks and Recreation,Parks Infrastructure,Environmental Remediation Program,K732401,Cumulative Reserve Subfund - Real Estate Excise Tax II Subaccount,Not Applicable,0,0
2016,Seattle City Light,D2 External Projects - Transportation Relocations,Sound Transit Light Rail East Link - City Light,8450,City Light Fund,Not Applicable,0,107000
2016,Seattle Department of Transportation,Major Projects,Mercer Corridor Project,TC365500,Transportation Operating Fund,Not Applicable,0,0
2016,Seattle Public Utilities,Shared Cost Projects,Integrated Control Monitoring Program - WF,C4108-WF,Water Fund,Not Applicable,0,200000
2016,Department of Parks and Recreation,Debt and Special Funding,Aquarium - Pier 59 Piling Replacement and Aquarium Redevelopment Debt Service,K732283,Cumulative Reserve Subfund - Real Estate Excise Tax II Subaccount,Not Applicable,0,1560000
2016,Seattle Public Utilities,Distribution,Water Infrastructure - New Hydrants,C1112,Water Fund,Not Applicable,0,24970
2016,Department of Parks and Recreation,Debt and Special Funding,Puget Park - Environmental Remediation,K73127,Parks and Recreation Fund,Not Applicable,0,0
2016,Seattle City Light,A2 Power Supply - Skagit,Ross - Rock Slide Area Improvements,6516,City Light Fund,Not Applicable,0,317000
2016,Department of Parks and Recreation,Building Component Renovations,Lake City Community Center Improvements,K732472,Cumulative Reserve Subfund - Real Estate Excise Tax I Subaccount,Not Applicable,0,0
2016,Department of Parks and Recreation,2008 Parks Levy- Green Space Acquisition,Green Space Acquisitions- 2008 Parks Levy,K730011,Open Spaces & Trails Bond Fund,Not Applicable,0,0
2016,Seattle Public Utilities,Shared Cost Projects,Operations Control Center - SWF,C4105-SWF,Solid Waste Fund,Not Applicable,0,9000
2016,Seattle City Light,C1 Distribution - Substations,Substation Automation,8424,City Light Fund,Not Applicable,0,756000
2016,Seattle City Light,D2 External Projects - Transportation Relocations,Sound Transit Northlink - City Light,8427,City Light Fund,Not Applicable,0,1663000
2016,Finance and Administrative Services,Public Safety Facilities - Police,Police Facilities,A1PS101,Cumulative Reserve Subfund - Unrestricted Subaccount,Not Applicable,0,0
2016,Seattle City Light,C4 Distribution - Service Connections,Normal Emergency,8379,City Light Fund,Not Applicable,0,494000
2016,Seattle Department of Transportation,Major Maintenance/Replacement,Arterial Major Maintenance,TC365940,Cumulative Reserve Subfund - Real Estate Excise Tax I Subaccount,Not Applicable,0,0
2016,Seattle Department of Transportation,Major Maintenance/Replacement,Bridge Load Rating,TC365060,Transportation Operating Fund,Not Applicable,0,281000
2016,Seattle City Light,C1 Distribution - Substations,Substation Breaker Replacements and Reliability Additions,7779,City Light Fund,Not Applicable,0,5025000
2016,Seattle Public Utilities,"Flooding, Sewer Back-up, and Landslides",Densmore Basin Drainage Improvements,C3803,Drainage and Wastewater Fund,Not Applicable,0,0
2016,Seattle Department of Transportation,Mobility-Capital,Pay Stations,TC366350,2016 Multipurpose LTGO Bond Fund,Not Applicable,0,9086000
2016,Finance and Administrative Services,Neighborhood Fire Stations,Fire Station 29,A1FL129,2015 Multipurpose LTGO Bond Fund,Not Applicable,0,0
2016,Seattle Department of Transportation,Major Projects,Alaskan Way Viaduct Replacement,TC366050,2006 LTGO Capital Projects Fund,Not Applicable,0,0
2016,Seattle Public Utilities,Distribution,Water Infrastructure - Watermain Extensions,C1111,Water Fund,Not Applicable,0,828061
2016,Seattle Public Utilities,Shared Cost Projects,First Hill Streetcar - DWF,C4130-DWF,Drainage and Wastewater Fund,Not Applicable,0,400000
2016,Seattle City Light,A2 Power Supply - Skagit,Skagit - Babcock Creek Crossing,6514,City Light Fund,Not Applicable,0,646000
2016,Seattle Public Utilities,Shared Cost Projects,Regional Facility - WF,C4107-WF,Water Fund,Not Applicable,0,1570000
2016,Seattle Public Utilities,Shared Cost Projects,Sound Transit Ã¢â‚¬â€œ University Link - WF,C4110-WF,Water Fund,Not Applicable,0,10000
2016,Seattle City Light,C3 Distribution - Radial,Distribution Automation,8425,City Light Fund,Not Applicable,0,3190000
2016,Finance and Administrative Services,Public Safety Facilities - Police,North Precinct,A1PS107,Cumulative Reserve Subfund - Real Estate Excise Tax I Subaccount,Not Applicable,0,0
2016,Seattle Department of Transportation,Major Projects,Alaskan Way Main Corridor,TC367330,Cumulative Reserve Subfund - Real Estate Excise Tax II Subaccount,Not Applicable,0,1840000
2016,Finance and Administrative Services,General Government Facilities - General,Seattle City Hall HVAC Improvements,A1GM130,Cumulative Reserve Subfund - Real Estate Excise Tax I Subaccount,Not Applicable,0,400000
2016,Seattle Center,McCaw Hall Capital Reserve Fund,McCaw Hall Asset Preservation,S0303,To Be Determined,Not Applicable,0,0
2016,Seattle Department of Transportation,Debt Service Program,Debt Service - CRF,TC320060,2006 LTGO Capital Projects Fund,Not Applicable,0,0
2016,Seattle City Light,C4 Distribution - Service Connections,Advanced Metering Infrastructure,8426,City Light Fund,Not Applicable,0,26896000
2016,Seattle Public Utilities,Technology,Asset Information Management,C5407,Drainage and Wastewater Fund,Not Applicable,0,1222920
2016,Seattle City Light,C3 Distribution - Radial,Overhead Equipment Replacements,8351,City Light Fund,Not Applicable,0,21010000
2016,Seattle Department of Transportation,Mobility-Capital,Pedestrian Master Plan - School Safety,TC367170,School Zone Fixed Automated Cameras Fund,Not Applicable,0,1556000
2016,Seattle City Light,A4 Power Supply - Power Supply Other,SMT AutoLab,6600,City Light Fund,Not Applicable,0,0
2016,Seattle Public Utilities,Protection of Beneficial Uses,GSI for Protection of Beneficial Uses,C3316,Drainage and Wastewater Fund,Not Applicable,0,2736987
2016,Seattle Department of Transportation,Major Projects,Alaskan Way Main Corridor,TC367330,2015 Multipurpose LTGO Bond Fund,Not Applicable,0,0
2016,Department of Parks and Recreation,Ballfields/Athletic Courts/Play Areas,Ballfields - Minor Capital Improvements,K732415,Cumulative Reserve Subfund - Real Estate Excise Tax II Subaccount,Not Applicable,0,0
2016,Seattle Department of Transportation,Major Projects,Alaskan Way Viaduct Replacement,TC366050,2005 LTGO Capital Project Fund,Not Applicable,0,0
2016,Seattle Department of Transportation,Mobility-Capital,Lake Union Ship Canal Trail,TC327000,2000 Parks Levy Fund,Not Applicable,0,0
2016,Seattle Public Utilities,Technology,Asset Information Management,C5407,Water Fund,Not Applicable,0,1254480
2016,Seattle City Light,A2 Power Supply - Skagit,Diablo Facility - Incline Lift Rehabilitation,6457,City Light Fund,Not Applicable,0,0
2016,Seattle Department of Transportation,Major Maintenance/Replacement,Sidewalk Safety Repair,TC365120,Cumulative Reserve Subfund - Real Estate Excise Tax I Subaccount,Not Applicable,0,0
2016,The Seattle Public Library,Library Major Maintenance,Library Major Maintenance,B301111,Library Capital Subfund,Not Applicable,0,0
2016,Finance and Administrative Services,Summit Re-Implementation Department Capital Needs,Summit Re-Implementation - Department Capital Needs,A1IT06,2017 Multipurpose LTGO Bond Fund,Not Applicable,0,0
2016,Seattle Department of Transportation,Major Projects,Alaskan Way Viaduct Replacement,TC366050,2007 Multipurpose LTGO Bond Fund,Not Applicable,0,0
2016,Finance and Administrative Services,Information Technology,Seattle License Management System Upgrade,A1IT03,Future Bond Funds,Not Applicable,0,0
2016,Seattle City Light,D1 External Projects - Local Jurisdictions,Transportation Streetlights,8377,City Light Fund,Not Applicable,0,2740000
2016,Seattle City Light,A4 Power Supply - Power Supply Other,Hydro Project Spill Containment,6530,City Light Fund,Not Applicable,0,668000
2016,Department of Parks and Recreation,Parks Infrastructure,Pavement Restoration Program,K732418,Cumulative Reserve Subfund - Real Estate Excise Tax I Subaccount,Not Applicable,0,400000
2016,Seattle Department of Transportation,Mobility-Capital,Fauntleroy Way SW Boulevard,TC367200,Transportation Operating Fund,Not Applicable,0,0
2016,Seattle Department of Transportation,Major Maintenance/Replacement,Bridge Rehabilitation and Replacement,TC366850,Cumulative Reserve Subfund - Real Estate Excise Tax II Subaccount,Not Applicable,0,0
2016,Seattle Department of Transportation,Mobility-Capital,Lake Union Ship Canal Trail,TC327000,Open Spaces & Trails Bond Fund,Not Applicable,0,0
2016,Seattle City Light,C5 Distribution - Distribution Other,Looped Radial Distribution System GIS Editor Replacement,9958,City Light Fund,Not Applicable,0,20000
2016,Seattle Department of Transportation,Mobility-Capital,3rd Avenue Corridor Improvements,TC367370,Transportation Operating Fund,Not Applicable,0,4718491
2016,Department of Parks and Recreation,2008 Parks Levy- Opportunity Fund,Troll's Knoll (Aurora Avenue N. and N 36th St.) Park Development,K730155,2008 Parks Levy Fund,Not Applicable,0,0
2016,Seattle Public Utilities,Protection of Beneficial Uses,Protection of Beneficial Uses Program,C3317,Drainage and Wastewater Fund,Not Applicable,0,420000
2016,Seattle Department of Transportation,Major Projects,Alaskan Way Viaduct Replacement,TC366050,2008 Multipurpose LTGO Bond Fund,Not Applicable,0,0
2016,Seattle Department of Transportation,Mobility-Capital,Burke-Gilman Trail Extension,TC364830,Cumulative Reserve Subfund - Street Vacation Subaccount,Not Applicable,0,0
2016,Seattle Department of Transportation,Major Projects,Elliott Bay Seawall Project,TC367320,Future Bond Funds,Not Applicable,0,0
2016,Seattle City Light,C1 Distribution - Substations,East Pine Substation - Transformer Replacements,7811,City Light Fund,Not Applicable,0,48000
2016,Seattle City Light,D2 External Projects - Transportation Relocations,Center City Connector Streetcar â€“ City Light,8470,City Light Fund,Not Applicable,0,401000
2016,Department of Parks and Recreation,Parks Infrastructure,Irrigation Replacement and Outdoor Infrastructure Program,K732406,Cumulative Reserve Subfund - Unrestricted Subaccount,Not Applicable,0,0
2016,Department of Parks and Recreation,Debt and Special Funding,Golf Master Plan Implementation,K732391,2015 Multipurpose LTGO Bond Fund,Not Applicable,0,0
2016,Seattle Public Utilities,Combined Sewer Overflows,Combined Sewer Overflow Facility Retrofit,C3611,Drainage and Wastewater Fund,Not Applicable,0,4788246
2016,Seattle City Light,E3 Central Utility Projects - Fleets and Facilities,Seismic Mitigation,9134,City Light Fund,Not Applicable,0,31000
2016,Seattle Department of Transportation,Major Maintenance/Replacement,Arterial Asphalt and Concrete Program,TC365440,Cumulative Reserve Subfund - Real Estate Excise Tax II Subaccount,Not Applicable,0,0
2016,Department of Parks and Recreation,Forest Restoration,Seward Park Forest Restoration,K732367,Cumulative Reserve Subfund - Unrestricted Subaccount,Not Applicable,0,88000
2016,Department of Parks and Recreation,Fix It First - CIP,Major Maintenance Backlog and Asset Management,K730300,Parks Capital Fund,Not Applicable,0,16862000
2016,Seattle Department of Transportation,Major Projects,SR-520 Project,TC365880,Cumulative Reserve Subfund - Street Vacation Subaccount,Not Applicable,0,0
2016,Seattle Public Utilities,Distribution,Multiple Utility Relocation,C1133,Water Fund,Not Applicable,0,369945
2016,Department of Parks and Recreation,2008 Parks Levy- Neighborhood Parks and Playgrounds,Play Area Renovations-2008 Levy,K730202,2008 Parks Levy Fund,Not Applicable,0,0
2016,Seattle Department of Transportation,Mobility-Capital,New Traffic Signals,TC367700,Transportation Operating Fund,Not Applicable,0,116000
